name,coordinates
Geier Hall,"{""rings"": [[[-83.9360585, 35.951765], [-83.9361497, 35.9518483], [-83.9361379, 35.9518574], [-83.9363409, 35.9520246], [-83.9363589, 35.952009], [-83.9364501, 35.9520892], [-83.9364281, 35.9521032], [-83.9364811, 35.9521479], [-83.9363641, 35.9522411], [-83.9363103, 35.9521897], [-83.9362569, 35.952231], [-83.9362821, 35.9522509], [-83.9361803, 35.9523276], [-83.9361603, 35.9523122], [-83.9360786, 35.9523734], [-83.9361062, 35.9523996], [-83.9360464, 35.9524435], [-83.9359887, 35.9524874], [-83.9359589, 35.9524669], [-83.9359397, 35.95248], [-83.9358501, 35.9524052], [-83.935871, 35.9523896], [-83.9356698, 35.9522202], [-83.9356531, 35.9522293], [-83.9355658, 35.95215], [-83.9357089, 35.9520384], [-83.9357975, 35.9521162], [-83.9357854, 35.95213], [-83.9359638, 35.9522746], [-83.936018, 35.9522353], [-83.9360099, 35.9522308], [-83.9360382, 35.9522076], [-83.9360279, 35.9521971], [-83.9360497, 35.9521837], [-83.9360488, 35.9521734], [-83.9360631, 35.9521624], [-83.9360738, 35.9521607], [-83.9360973, 35.9521437], [-83.9361044, 35.9521504], [-83.9361876, 35.9520911], [-83.9360168, 35.9519451], [-83.9360074, 35.9519525], [-83.9359157, 35.9518721], [-83.9360585, 35.951765]]]}"
Robinson Hall,"{""rings"": [[[-83.9359495, 35.9516912], [-83.9358337, 35.9517836], [-83.9358024, 35.9517607], [-83.9357156, 35.951823], [-83.9357391, 35.9518431], [-83.9356743, 35.9518941], [-83.9356517, 35.9518762], [-83.9355675, 35.9519412], [-83.9355981, 35.9519679], [-83.9354771, 35.9520572], [-83.9354264, 35.9520093], [-83.9353997, 35.9520274], [-83.9353155, 35.9519506], [-83.9353349, 35.9519336], [-83.9351914, 35.9518111], [-83.9352109, 35.9517925], [-83.9351837, 35.951767], [-83.9352787, 35.951694], [-83.9354572, 35.9518371], [-83.93554, 35.9517787], [-83.9355249, 35.9517642], [-83.9355852, 35.9517204], [-83.9356014, 35.9517317], [-83.9356875, 35.9516692], [-83.9355128, 35.9515121], [-83.9356055, 35.9514385], [-83.9356399, 35.9514639], [-83.9356641, 35.9514448], [-83.9359495, 35.9516912]]]}"
Student Union,"{""rings"": [[[-83.9278373, 35.9559507], [-83.9278643, 35.9559933], [-83.9278518, 35.9559984], [-83.9278741, 35.9560358], [-83.9281839, 35.9565565], [-83.9282883, 35.9565153], [-83.9283131, 35.9565622], [-83.9283369, 35.9566072], [-83.9283614, 35.9566512], [-83.928368, 35.956663], [-83.9283729, 35.9566718], [-83.9284377, 35.9567881], [-83.9283595, 35.956816], [-83.9283625, 35.9568196], [-83.92838, 35.9568503], [-83.9283998, 35.9568864], [-83.9284171, 35.956917], [-83.9284251, 35.9569141], [-83.9284384, 35.9569376], [-83.9284619, 35.9569791], [-83.9285799, 35.9571886], [-83.9285948, 35.9571824], [-83.9286109, 35.9572118], [-83.9286144, 35.9572181], [-83.9286387, 35.9572099], [-83.9286458, 35.9572218], [-83.9286404, 35.9572241], [-83.9286411, 35.9572367], [-83.9286442, 35.9572496], [-83.9286546, 35.9572597], [-83.9286668, 35.9572682], [-83.9286721, 35.9572662], [-83.9286801, 35.9572798], [-83.9286535, 35.9572887], [-83.9286734, 35.9573248], [-83.9286579, 35.9573304], [-83.9287591, 35.9575087], [-83.9287649, 35.9575067], [-83.9287724, 35.9575215], [-83.9288074, 35.9575091], [-83.9288103, 35.9575133], [-83.9288759, 35.9574894], [-83.9288733, 35.9574846], [-83.9289085, 35.9574706], [-83.9289009, 35.9574565], [-83.9289064, 35.957454], [-83.9288803, 35.9574081], [-83.928906, 35.9573986], [-83.9289084, 35.9574035], [-83.9289246, 35.9574027], [-83.9289407, 35.9574001], [-83.9289539, 35.9573927], [-83.9289643, 35.9573844], [-83.9289607, 35.9573783], [-83.9289887, 35.9573681], [-83.9289409, 35.9572852], [-83.9289004, 35.9572148], [-83.9289078, 35.9572116], [-83.9289056, 35.9572074], [-83.9289862, 35.9571779], [-83.9292945, 35.9570647], [-83.9293811, 35.9570329], [-83.9294232, 35.9571061], [-83.9294714, 35.9571897], [-83.9295336, 35.9571659], [-83.9295698, 35.9571521], [-83.9295771, 35.9571637], [-83.9296843, 35.9571236], [-83.9296776, 35.9571134], [-83.9297761, 35.9570776], [-83.9297089, 35.9569588], [-83.9297261, 35.956953], [-83.9297118, 35.9569277], [-83.9296972, 35.956902], [-83.9296737, 35.9569113], [-83.9296664, 35.956899], [-83.929672, 35.9568962], [-83.9296721, 35.9568894], [-83.9296714, 35.9568822], [-83.9296695, 35.9568755], [-83.9296676, 35.9568701], [-83.9296656, 35.956866], [-83.929662, 35.9568626], [-83.9296568, 35.9568585], [-83.9296507, 35.9568546], [-83.9296453, 35.9568519], [-83.9296401, 35.9568539], [-83.9296328, 35.9568413], [-83.9296571, 35.9568322], [-83.9296436, 35.956808], [-83.9294349, 35.956435], [-83.9291298, 35.9565475], [-83.9291418, 35.9565682], [-83.9289231, 35.9566483], [-83.9289171, 35.9566378], [-83.9286427, 35.9567382], [-83.9286442, 35.956741], [-83.9286385, 35.9567433], [-83.9286248, 35.9567197], [-83.9285982, 35.9567297], [-83.9285959, 35.9567252], [-83.9285794, 35.9567246], [-83.9285622, 35.9567275], [-83.9285498, 35.9567346], [-83.9285393, 35.9567435], [-83.9285434, 35.9567503], [-83.9285036, 35.9567653], [-83.9284717, 35.9567041], [-83.9283476, 35.9564902], [-83.9283595, 35.9564865], [-83.9283181, 35.9564077], [-83.9283302, 35.9564032], [-83.9280602, 35.9559162], [-83.9280406, 35.9559247], [-83.9280241, 35.9558913], [-83.9279523, 35.9559204], [-83.9279502, 35.9559098], [-83.9278563, 35.9559438], [-83.9278373, 35.9559507]]]}"
St. John XXIII Catholic Center,"{""rings"": [[[-83.9327274, 35.9541235], [-83.9326917, 35.9540743], [-83.932677, 35.9540801], [-83.9325825, 35.9539617], [-83.9325947, 35.9539565], [-83.9325579, 35.9539106], [-83.9324555, 35.9539662], [-83.9324471, 35.9539558], [-83.9323944, 35.9539844], [-83.9324047, 35.9540002], [-83.9323613, 35.9540196], [-83.9323256, 35.953978], [-83.9322268, 35.9540334], [-83.9322884, 35.9541101], [-83.9322961, 35.954106], [-83.9323105, 35.954125], [-83.9323265, 35.954144], [-83.9322255, 35.9542005], [-83.9322175, 35.9541886], [-83.9321865, 35.9542065], [-83.9322626, 35.9542982], [-83.9324772, 35.9541817], [-83.9324324, 35.9541291], [-83.9324081, 35.9541417], [-83.9323905, 35.9541142], [-83.9324679, 35.9540756], [-83.9325361, 35.9541563], [-83.9325223, 35.9541633], [-83.9325599, 35.9542089], [-83.9327274, 35.9541235]]]}"
Joan Cronan Volleyball Practice Facility,"{""rings"": [[[-83.9316971, 35.9465324], [-83.9315528, 35.9459606], [-83.9311859, 35.9460231], [-83.9313262, 35.9465933], [-83.9316215, 35.9465448], [-83.9316971, 35.9465324]]]}"
Dyon Construction,"{""rings"": [[[-83.9272356, 35.9587372], [-83.9271262, 35.9587771], [-83.9271182, 35.9587627], [-83.9269891, 35.9588099], [-83.9269981, 35.958826], [-83.9267459, 35.958918], [-83.9270786, 35.9595156], [-83.9276422, 35.95931], [-83.9275696, 35.9591796], [-83.927638, 35.9591546], [-83.9276094, 35.9591033], [-83.9275423, 35.9591277], [-83.9274125, 35.9588947], [-83.9273531, 35.9589164], [-83.9273039, 35.9588279], [-83.9272891, 35.9588333], [-83.9272356, 35.9587372]]]}"
Alpha Kappa Alpha,"{""rings"": [[[-83.9453629, 35.9505471], [-83.9453336, 35.9505539], [-83.9452161, 35.9505811], [-83.9452085, 35.9505596], [-83.9451378, 35.950576], [-83.9451257, 35.9505416], [-83.9451001, 35.9505475], [-83.9450798, 35.9504903], [-83.9451844, 35.9504661], [-83.9451915, 35.9504863], [-83.9453058, 35.9504598], [-83.9453496, 35.9504497], [-83.9453755, 35.9505229], [-83.945356, 35.9505275], [-83.9453629, 35.9505471]]]}"
Alpha Chi Omega,"{""rings"": [[[-83.9452506, 35.9502974], [-83.9450594, 35.9503105], [-83.9450346, 35.950073], [-83.9451756, 35.9500634], [-83.9451798, 35.9501039], [-83.9453317, 35.9500935], [-83.945343, 35.9502023], [-83.9453118, 35.9502044], [-83.945313, 35.9502163], [-83.9453042, 35.9502169], [-83.9453046, 35.9502257], [-83.9453023, 35.9502335], [-83.9452983, 35.9502409], [-83.9452927, 35.9502476], [-83.9452862, 35.9502535], [-83.9452777, 35.9502579], [-83.945269, 35.9502615], [-83.9452588, 35.9502626], [-83.9452595, 35.9502693], [-83.9452477, 35.9502701], [-83.9452506, 35.9502974]]]}"
Delta Gamma,"{""rings"": [[[-83.9451426, 35.9499687], [-83.945065, 35.949925], [-83.94511, 35.9498726], [-83.9450954, 35.9498644], [-83.9451232, 35.9498321], [-83.9451372, 35.94984], [-83.9451627, 35.9498102], [-83.9452476, 35.9498578], [-83.9452432, 35.949863], [-83.945277, 35.9498819], [-83.9453379, 35.9498105], [-83.9453837, 35.9498361], [-83.9453985, 35.9498187], [-83.9454613, 35.9498538], [-83.9454534, 35.949863], [-83.945514, 35.9498968], [-83.9454912, 35.9499236], [-83.9454633, 35.9499081], [-83.9454604, 35.9499115], [-83.9454645, 35.9499138], [-83.9454491, 35.9499318], [-83.9454462, 35.9499302], [-83.9454405, 35.949937], [-83.9454744, 35.9499559], [-83.9454542, 35.9499796], [-83.9454443, 35.9499741], [-83.9454146, 35.9500088], [-83.9453872, 35.9499934], [-83.9453559, 35.9500299], [-83.9453415, 35.9500218], [-83.9453353, 35.950029], [-83.9452732, 35.949994], [-83.9452687, 35.9499992], [-83.9451661, 35.9499414], [-83.9451426, 35.9499687]]]}"
Chi Omega,"{""rings"": [[[-83.9449722, 35.9503246], [-83.9449392, 35.9503323], [-83.9449409, 35.950337], [-83.9449052, 35.9503454], [-83.9449037, 35.950341], [-83.9448274, 35.950359], [-83.9448229, 35.9503464], [-83.944769, 35.9503751], [-83.9445644, 35.9501237], [-83.9446986, 35.9500522], [-83.9448278, 35.950211], [-83.9449206, 35.9501912], [-83.9449722, 35.9503246]]]}"
Delta Delta Delta,"{""rings"": [[[-83.9445692, 35.9505551], [-83.944291, 35.9503491], [-83.9444747, 35.9501816], [-83.9445367, 35.950228], [-83.9445008, 35.9502606], [-83.9445394, 35.9502899], [-83.9445062, 35.9503211], [-83.9446018, 35.9503895], [-83.944639, 35.9503586], [-83.944695, 35.9504025], [-83.9446645, 35.9504294], [-83.9446916, 35.9504492], [-83.9445692, 35.9505551]]]}"
Theta Mu,"{""rings"": [[[-83.9443259, 35.9507539], [-83.9442478, 35.9506963], [-83.9442558, 35.9506887], [-83.9441549, 35.9506127], [-83.9441465, 35.9506209], [-83.944068, 35.9505658], [-83.9441338, 35.9505025], [-83.9441177, 35.9504925], [-83.9441623, 35.9504496], [-83.9441797, 35.950461], [-83.9442444, 35.9504029], [-83.9443255, 35.9504594], [-83.9442518, 35.9505278], [-83.9443517, 35.9506032], [-83.9444275, 35.9505359], [-83.9445052, 35.9505932], [-83.9444409, 35.9506524], [-83.9444586, 35.9506648], [-83.9444114, 35.9507069], [-83.9443919, 35.9506947], [-83.9443259, 35.9507539]]]}"
Zau Tau Alpha,"{""rings"": [[[-83.9442307, 35.950942], [-83.9441988, 35.9509338], [-83.9441918, 35.9509517], [-83.9439196, 35.9508817], [-83.9439263, 35.9508646], [-83.9438712, 35.9508504], [-83.9439568, 35.9506323], [-83.9441036, 35.95067], [-83.9440879, 35.9507099], [-83.9441969, 35.9507379], [-83.9441868, 35.9507637], [-83.9442579, 35.950782], [-83.9442513, 35.9507988], [-83.9442837, 35.9508071], [-83.9442307, 35.950942]]]}"
Alpha Omicron Pi,"{""rings"": [[[-83.9439955, 35.9516381], [-83.9439774, 35.9515356], [-83.9440226, 35.9515304], [-83.9439991, 35.951397], [-83.9441354, 35.9513812], [-83.944139, 35.951402], [-83.9441731, 35.951398], [-83.9441693, 35.9513768], [-83.9442728, 35.9513649], [-83.9442798, 35.9514046], [-83.9442904, 35.9514034], [-83.944298, 35.9514465], [-83.9443098, 35.9514451], [-83.9443182, 35.9514927], [-83.944331, 35.9514913], [-83.9443474, 35.9515847], [-83.9443241, 35.9515874], [-83.9443259, 35.9515978], [-83.9441253, 35.9516209], [-83.9441267, 35.951629], [-83.9440462, 35.9516383], [-83.9440451, 35.9516324], [-83.9439955, 35.9516381]]]}"
Kappa Delta,"{""rings"": [[[-83.9445923, 35.9512428], [-83.9445179, 35.9512801], [-83.9445052, 35.9512635], [-83.9444452, 35.9512936], [-83.944457, 35.9513091], [-83.9443748, 35.9513502], [-83.9443991, 35.951382], [-83.9443855, 35.9513888], [-83.9444719, 35.9515019], [-83.944487, 35.9514943], [-83.9445129, 35.9515282], [-83.9445203, 35.9515245], [-83.944525, 35.9515307], [-83.9447266, 35.9514299], [-83.9447212, 35.9514229], [-83.9447277, 35.9514196], [-83.9447024, 35.9513864], [-83.9447171, 35.9513791], [-83.9446315, 35.9512671], [-83.9446166, 35.9512746], [-83.9445923, 35.9512428]]]}"
Alpha Delta Pi,"{""rings"": [[[-83.9452376, 35.9511109], [-83.9451919, 35.9511522], [-83.9451849, 35.9511471], [-83.9451493, 35.9511793], [-83.9451278, 35.9511637], [-83.9451221, 35.9511688], [-83.9448671, 35.9509838], [-83.9449143, 35.9509411], [-83.9448981, 35.9509294], [-83.944986, 35.95085], [-83.9450012, 35.9508611], [-83.9450471, 35.9508196], [-83.945159, 35.9509008], [-83.9451297, 35.9509273], [-83.9452935, 35.9510461], [-83.9452288, 35.9511045], [-83.9452376, 35.9511109]]]}"
Pi Beta Phi Sorority,"{""rings"": [[[-83.9452106, 35.9508136], [-83.9453537, 35.9509745], [-83.9453827, 35.9509576], [-83.9453863, 35.9509616], [-83.9455499, 35.9508664], [-83.9455312, 35.9508453], [-83.9455852, 35.9508138], [-83.945472, 35.9506863], [-83.9454154, 35.9507192], [-83.9453957, 35.950697], [-83.9452342, 35.9507911], [-83.9452393, 35.9507969], [-83.9452106, 35.9508136]]]}"
Kappa Kappa Gamma House,"{""rings"": [[[-83.9458314, 35.9510143], [-83.9457419, 35.9511281], [-83.9457133, 35.9511645], [-83.9456722, 35.9512168], [-83.9456014, 35.9511803], [-83.9456102, 35.9511691], [-83.9454653, 35.9510945], [-83.9455123, 35.9510346], [-83.9455705, 35.9510646], [-83.9456011, 35.9510257], [-83.945572, 35.9510107], [-83.9456451, 35.9509176], [-83.9456834, 35.9509373], [-83.9456736, 35.9509498], [-83.9457568, 35.9509927], [-83.9457662, 35.9509807], [-83.9457706, 35.9509829], [-83.9458314, 35.9510143]]]}"
Delta Zeta House,"{""rings"": [[[-83.9462201, 35.9511616], [-83.9459798, 35.9512085], [-83.9459784, 35.9512044], [-83.9459602, 35.9511495], [-83.9459498, 35.9511502], [-83.9459497, 35.9511474], [-83.9459302, 35.9511479], [-83.9459277, 35.9510521], [-83.9459265, 35.951007], [-83.9459336, 35.9510068], [-83.9459456, 35.9510064], [-83.945944, 35.9509502], [-83.9459527, 35.95095], [-83.9459511, 35.9509258], [-83.9460064, 35.950925], [-83.9460988, 35.9509238], [-83.94615, 35.9509231], [-83.94615, 35.9509328], [-83.94615, 35.9509466], [-83.9461581, 35.9509465], [-83.9461736, 35.9510004], [-83.9461934, 35.9509982], [-83.9462223, 35.9511016], [-83.9462039, 35.9511055], [-83.9462201, 35.9511616]]]}"
Fieldhouse Social,"{""rings"": [[[-83.9403402, 35.9516956], [-83.9401861, 35.9517504], [-83.9403511, 35.952054], [-83.9405109, 35.9519971], [-83.9405177, 35.9520097], [-83.9405474, 35.9519991], [-83.9405054, 35.9519219], [-83.94047, 35.9519345], [-83.9403402, 35.9516956]]]}"
Dogwood Hall,"{""rings"": [[[-83.9363691, 35.9509399], [-83.9362332, 35.9508244], [-83.9363359, 35.9507453], [-83.9363507, 35.9507579], [-83.9363952, 35.9507237], [-83.9363804, 35.9507111], [-83.9364877, 35.9506285], [-83.9365319, 35.9506661], [-83.9365708, 35.9506362], [-83.9367657, 35.9508021], [-83.9368759, 35.9507173], [-83.9368577, 35.9507019], [-83.9369306, 35.9506458], [-83.9369391, 35.950653], [-83.9369669, 35.9506317], [-83.9369751, 35.9506357], [-83.9370237, 35.9505984], [-83.9367755, 35.9503864], [-83.9369042, 35.9502876], [-83.936929, 35.9503089], [-83.9369478, 35.9502944], [-83.9371721, 35.9504857], [-83.9371769, 35.950482], [-83.9372679, 35.9505591], [-83.9372431, 35.9505783], [-83.9372946, 35.9506218], [-83.9371227, 35.9507552], [-83.9371292, 35.9507607], [-83.9370964, 35.9507863], [-83.9371034, 35.9507922], [-83.9370304, 35.9508493], [-83.9370132, 35.9508349], [-83.9369047, 35.9509199], [-83.9369088, 35.9509219], [-83.9368123, 35.9509967], [-83.9367889, 35.950977], [-83.9367383, 35.9510161], [-83.9364675, 35.9507869], [-83.9364225, 35.9508217], [-83.9364702, 35.9508621], [-83.9364438, 35.9508826], [-83.936448, 35.9508861], [-83.9363975, 35.9509252], [-83.936393, 35.9509214], [-83.9363691, 35.9509399]]]}"
Magnolia Hall,"{""rings"": [[[-83.9367562, 35.9500941], [-83.9368776, 35.9501961], [-83.9366147, 35.950401], [-83.9366178, 35.9504036], [-83.936522, 35.9504785], [-83.9364977, 35.9504581], [-83.936449, 35.9504962], [-83.9362805, 35.950355], [-83.9362529, 35.9503765], [-83.9361849, 35.9503195], [-83.9362061, 35.9503029], [-83.9361781, 35.9502794], [-83.9361877, 35.9502719], [-83.9361646, 35.9502525], [-83.9358455, 35.9505018], [-83.9357289, 35.9504039], [-83.9357573, 35.9503816], [-83.9357378, 35.9503653], [-83.936028, 35.9501388], [-83.9360238, 35.9501353], [-83.9361175, 35.9500624], [-83.9361406, 35.9500818], [-83.9361905, 35.950043], [-83.9363569, 35.9501832], [-83.9363765, 35.950168], [-83.9364431, 35.9502241], [-83.9364344, 35.9502309], [-83.9364656, 35.9502572], [-83.9364548, 35.9502656], [-83.9364752, 35.9502828], [-83.9367092, 35.9501005], [-83.9367278, 35.9501162], [-83.9367562, 35.9500941]]]}"
Ukirk Campus Ministries,"{""rings"": [[[-83.9336984, 35.953446], [-83.9336601, 35.9534657], [-83.9336471, 35.9534526], [-83.9335799, 35.953486], [-83.9335352, 35.9534322], [-83.9335169, 35.9534402], [-83.9334891, 35.9534015], [-83.9335211, 35.9533843], [-83.9335181, 35.9533781], [-83.9335708, 35.9533494], [-83.9336592, 35.9533033], [-83.9336687, 35.9533133], [-83.9337, 35.9532913], [-83.93373, 35.9533271], [-83.9337656, 35.9533661], [-83.9337221, 35.9533932], [-83.9337116, 35.9533827], [-83.9336736, 35.9534099], [-83.933688, 35.9534314], [-83.9336984, 35.953446]]]}"
Zeanah Engineering Complex,"{""rings"": [[[-83.9240778, 35.9558192], [-83.9237527, 35.9559156], [-83.923629, 35.955969], [-83.9232067, 35.9562003], [-83.9231535, 35.9561357], [-83.9231304, 35.9561479], [-83.9230853, 35.9560842], [-83.9231072, 35.9560711], [-83.9230644, 35.9560121], [-83.923297, 35.955895], [-83.9231419, 35.9556993], [-83.9231755, 35.9556843], [-83.9231547, 35.9556572], [-83.9232912, 35.9555897], [-83.9233143, 35.9556103], [-83.9233525, 35.9555916], [-83.9234844, 35.9557649], [-83.9236313, 35.9557096], [-83.9234797, 35.9553997], [-83.9235214, 35.9553903], [-83.9235144, 35.9553659], [-83.9236695, 35.9553201], [-83.923681, 35.9553435], [-83.9237215, 35.9553313], [-83.9238696, 35.9556637], [-83.9239876, 35.9556263], [-83.9240165, 35.9556843], [-83.9240454, 35.955674], [-83.9240801, 35.9557471], [-83.9240489, 35.9557592], [-83.9240778, 35.9558192]]]}"
Hopecote,"{""rings"": [[[-83.9332062, 35.9531183], [-83.9331631, 35.9531424], [-83.9331961, 35.9531842], [-83.9331046, 35.9532308], [-83.933119, 35.9532494], [-83.933027, 35.9532975], [-83.93299, 35.9532516], [-83.9329643, 35.9532172], [-83.933142, 35.9531207], [-83.9331272, 35.9530974], [-83.9331717, 35.9530726], [-83.9332062, 35.9531183]]]}"
Equity & Diversity,"{""rings"": [[[-83.9337158, 35.9529177], [-83.9335777, 35.9529919], [-83.9336032, 35.9530229], [-83.9335429, 35.9530557], [-83.9334937, 35.9529946], [-83.9335213, 35.9529795], [-83.9334786, 35.9529316], [-83.9336431, 35.9528325], [-83.9337158, 35.9529177]]]}"
Ceramics Annex,"{""rings"": [[[-83.9411419, 35.9496946], [-83.9410226, 35.9497648], [-83.9409855, 35.9497824], [-83.9409054, 35.9496868], [-83.9410555, 35.9495977], [-83.9411419, 35.9496946]]]}"
TVA Greenhouse,"{""rings"": [[[-83.9421463, 35.9500234], [-83.9419589, 35.9499673], [-83.9419954, 35.9498908], [-83.9420734, 35.9499124], [-83.9420791, 35.9498999], [-83.9421119, 35.9499108], [-83.9421078, 35.9499253], [-83.9421823, 35.9499469], [-83.9421463, 35.9500234]]]}"
Cowan Cottage,"{""rings"": [[[-83.931075, 35.9580653], [-83.9309266, 35.9581199], [-83.9308958, 35.9580692], [-83.9309395, 35.9580533], [-83.9309317, 35.9580393], [-83.9309954, 35.9580149], [-83.9310055, 35.9580305], [-83.9310479, 35.9580129], [-83.931075, 35.9580653]]]}"
Methodist Student Center,"{""rings"": [[[-83.9326037, 35.9546137], [-83.9325057, 35.9546531], [-83.9324836, 35.9546157], [-83.9323919, 35.954647], [-83.9323237, 35.9545247], [-83.9323957, 35.9544996], [-83.9323451, 35.9544059], [-83.9324267, 35.9543762], [-83.9324343, 35.9543896], [-83.9324482, 35.9543834], [-83.932464, 35.95441], [-83.9324887, 35.9544039], [-83.9326037, 35.9546137]]]}"
Baptist Student Center .,"{""rings"": [[[-83.9330949, 35.9539249], [-83.9327788, 35.9540992], [-83.9325969, 35.9538615], [-83.9326695, 35.9538243], [-83.9327136, 35.9538754], [-83.9327419, 35.9538606], [-83.9327178, 35.9538324], [-83.9328701, 35.953748], [-83.9329957, 35.9539008], [-83.9330501, 35.9538733], [-83.9330949, 35.9539249]]]}"
Christian Student Center,"{""rings"": [[[-83.9335494, 35.9536577], [-83.9334229, 35.9537193], [-83.9333115, 35.9535839], [-83.9332999, 35.9535903], [-83.9332779, 35.9535649], [-83.9332874, 35.9535593], [-83.9332592, 35.9535213], [-83.9333679, 35.9534584], [-83.9334027, 35.9535011], [-83.9334202, 35.9534906], [-83.9335494, 35.9536577]]]}"
Lee Softball Stadium,"{""rings"": [[[-83.9352767, 35.94588], [-83.9351997, 35.945895], [-83.9351823, 35.9458305], [-83.9351161, 35.9458423], [-83.9350981, 35.9457632], [-83.9351616, 35.9457509], [-83.9351554, 35.9457309], [-83.9350903, 35.9457382], [-83.9350835, 35.9457182], [-83.9351004, 35.9457164], [-83.9350571, 35.9455323], [-83.9350437, 35.9455332], [-83.9350422, 35.9455233], [-83.9350707, 35.9455187], [-83.9350626, 35.9454873], [-83.935025, 35.9454926], [-83.9350205, 35.9454729], [-83.9349501, 35.9454359], [-83.9349218, 35.9454366], [-83.9349164, 35.9454105], [-83.9348794, 35.9454152], [-83.9348839, 35.945442], [-83.9348683, 35.9454456], [-83.9348652, 35.9454325], [-83.9347921, 35.9454429], [-83.9347951, 35.9454563], [-83.934775, 35.9454576], [-83.9347726, 35.9454485], [-83.9346179, 35.9454787], [-83.9346083, 35.9454354], [-83.9345785, 35.9454398], [-83.93459, 35.9454902], [-83.9344934, 35.9455082], [-83.9344792, 35.9454529], [-83.9344215, 35.9454641], [-83.9344106, 35.9454327], [-83.9344046, 35.9454042], [-83.934597, 35.9453676], [-83.9346032, 35.9453944], [-83.9347475, 35.9453707], [-83.9347413, 35.9453512], [-83.9349692, 35.9453053], [-83.9350091, 35.9453271], [-83.9350248, 35.9453048], [-83.9351376, 35.9453648], [-83.9351231, 35.9453862], [-83.935159, 35.9454039], [-83.9351966, 35.9455912], [-83.9351708, 35.9455989], [-83.9352011, 35.9457162], [-83.9352381, 35.9457103], [-83.9352767, 35.94588]]]}"
Sigma Phi Epsilon,"{""rings"": [[[-83.9322191, 35.94819], [-83.9319998, 35.9479867], [-83.9319341, 35.9480343], [-83.9320281, 35.948124], [-83.9320025, 35.9481424], [-83.9319776, 35.9481228], [-83.931905, 35.9481766], [-83.9319188, 35.9481984], [-83.9318946, 35.9482164], [-83.9318496, 35.9481738], [-83.9317874, 35.9482253], [-83.93195, 35.948381], [-83.9320178, 35.9483373], [-83.9319839, 35.948302], [-83.9320129, 35.948283], [-83.9320572, 35.9483161], [-83.9321285, 35.9482696], [-83.9320876, 35.9482276], [-83.9321139, 35.948208], [-83.9321547, 35.9482393], [-83.9322191, 35.94819]]]}"
Rocky Top Dining Hall,"{""rings"": [[[-83.9344168, 35.9514227], [-83.9345533, 35.9515529], [-83.9344163, 35.951647], [-83.934526, 35.9517517], [-83.9343769, 35.9518541], [-83.9343962, 35.9518726], [-83.9342516, 35.9519714], [-83.9342052, 35.9519268], [-83.9339552, 35.9520973], [-83.9339806, 35.9521216], [-83.9339361, 35.9521518], [-83.9337092, 35.9519327], [-83.9334682, 35.9520963], [-83.9335559, 35.952181], [-83.9335113, 35.9522112], [-83.9334152, 35.9521182], [-83.934014, 35.9517128], [-83.934014, 35.9516773], [-83.9340488, 35.951654], [-83.9340836, 35.9516515], [-83.9344168, 35.9514227]]]}"
Terrace Avenue Parking Garage,"{""rings"": [[[-83.9344282, 35.9546237], [-83.9343927, 35.954637], [-83.9343423, 35.9546558], [-83.9335359, 35.9549561], [-83.9335313, 35.9549481], [-83.9334608, 35.9549743], [-83.9334268, 35.9549142], [-83.9334641, 35.9549004], [-83.9333962, 35.9547804], [-83.9334301, 35.9547678], [-83.9334125, 35.9547367], [-83.9334629, 35.9547181], [-83.9334396, 35.9546767], [-83.933431, 35.9546616], [-83.9334544, 35.9545884], [-83.9335388, 35.9544872], [-83.933736, 35.9543663], [-83.9337801, 35.9543499], [-83.9339508, 35.9542861], [-83.9339394, 35.9542657], [-83.9340034, 35.9542422], [-83.9340629, 35.9542203], [-83.9340743, 35.9542406], [-83.9340976, 35.954232], [-83.9340813, 35.9542032], [-83.9341562, 35.9541754], [-83.9341953, 35.9542443], [-83.9342095, 35.954239], [-83.9344282, 35.9546237]]]}"
Tyson House,"{""rings"": [[[-83.9318048, 35.9558728], [-83.9317589, 35.955783], [-83.9318001, 35.9557691], [-83.931756, 35.9556829], [-83.9316426, 35.9557208], [-83.9315753, 35.9555892], [-83.9315352, 35.9556027], [-83.9315172, 35.9555674], [-83.9314589, 35.955587], [-83.931583, 35.9558298], [-83.9316723, 35.9557999], [-83.9317235, 35.9559], [-83.9318048, 35.9558728]]]}"
Three Rivers Rambler,"{""rings"": [[[-83.9404796, 35.9529348], [-83.9403562, 35.9527046], [-83.9402804, 35.9527312], [-83.9404038, 35.9529615], [-83.9404796, 35.9529348]]]}"
Neyland Parking Garage G10,"{""rings"": [[[-83.9241743, 35.952325], [-83.9246959, 35.9524924], [-83.9243174, 35.9532379], [-83.9241793, 35.9531935], [-83.9241627, 35.9532248], [-83.9242231, 35.9532428], [-83.9242073, 35.9532753], [-83.9242393, 35.9532876], [-83.9236768, 35.954491], [-83.9235143, 35.9544398], [-83.9234691, 35.9545293], [-83.9233696, 35.9544984], [-83.9234024, 35.9544312], [-83.9234566, 35.9544487], [-83.9234701, 35.9544224], [-83.9232527, 35.9543486], [-83.9231563, 35.9543164], [-83.9241743, 35.952325]]]}"
